VisitID,UserID,DestinationID,VisitDate
98,6,28,2024-09-24
99,6,1,2024-07-02
100,6,8,2023-01-23
101,7,9,2023-10-17
102,7,2,2024-04-17
103,7,5,2024-09-18
104,7,1,2024-10-06
105,7,29,2023-02-26
106,7,6,2024-10-06
107,7,20,2024-07-13
108,7,14,2023-05-31
109,7,16,2023-08-13
110,7,21,2024-07-04
111,7,13,2023-06-08
112,7,17,2023-11-27
113,7,12,2024-05-18
114,7,8,2024-04-20
115,7,26,2024-10-27
116,7,10,2023-03-23
117,7,27,2023-08-04
118,7,11,2024-12-20
119,7,23,2024-02-20
120,8,13,2023-07-31
121,8,29,2023-07-31
122,8,5,2024-07-09
123,8,8,2023-04-22
124,8,2,2023-06-18
125,8,1,2023-07-02
126,8,20,2024-10-24
127,8,15,2024-11-21
128,8,4,2024-01-01
129,8,26,2023-04-25
130,8,9,2024-07-06
131,8,17,2023-12-26
132,8,12,2024-09-13
133,8,14,2023-09-21
134,9,8,2023-09-04
135,9,9,2024-02-06
136,9,21,2024-05-13
137,9,13,2023-04-20
138,9,10,2024-10-17
139,9,20,2023-05-29
140,9,14,2024-08-13
141,9,2,2024-04-27
142,9,12,2023-04-14
143,9,17,2024-06-13
144,9,11,2023-05-24
145,9,5,2024-03-14
146,9,4,2024-12-02
147,9,15,2024-11-27
148,9,16,2024-09-28
149,9,24,2023-12-28
150,9,1,2024-02-14
151,9,29,2023-08-08
152,9,7,2024-11-04
153,9,28,2023-12-15
154,10,28,2023-09-20
155,10,29,2023-05-27
156,10,13,2024-09-14
157,10,3,2024-07-28
158,10,23,2023-06-26
159,10,15,2024-03-07
160,10,12,2024-03-28
161,10,14,2023-12-16
162,10,7,2024-11-08
163,10,20,2023-04-01
164,10,11,2023-07-08
165,10,17,2023-03-11
166,10,9,2024-05-21
167,10,5,2024-04-15
168,10,26,2024-12-22
169,10,4,2024-02-01
170,10,22,2023-04-21
171,10,8,2023-11-26
172,11,4,2024-09-01
173,11,1,2024-11-19
174,11,9,2023-08-26
175,11,13,2023-01-17
176,11,12,2024-12-17
177,11,21,2024-03-15
178,11,14,2023-06-30
179,11,16,2024-07-12
180,11,11,2024-10-22
181,11,17,2023-07-28
182,11,5,2024-07-16
183,11,26,2024-07-29
184,12,12,2024-04-07
185,12,14,2023-11-10
186,12,29,2023-09-08
187,12,8,2024-06-25
188,12,10,2023-01-29
189,12,1,2024-02-17
190,12,16,2023-12-28
191,12,9,2024-02-09
192,12,11,2023-04-01
193,12,17,2024-11-27
194,12,13,2023-06-24
195,12,15,2024-05-10
196,12,22,2024-06-30
197,12,20,2023-09-09
198,12,5,2023-04-06
199,12,23,2023-08-05
200,13,13,2023-05-16
201,13,11,2023-07-17
202,13,21,2024-09-21
203,13,26,2024-10-15
204,13,29,2024-11-01
205,13,22,2023-11-08
206,13,6,2024-07-07
207,13,30,2023-08-28
208,13,15,2024-06-25
209,13,1,2024-01-03
210,13,16,2023-02-07
211,13,12,2023-11-02
212,13,20,2023-12-08
213,13,7,2023-07-08
214,13,9,2023-10-01
215,13,10,2024-01-03
216,13,4,2023-02-06
217,13,8,2023-04-21
218,13,27,2024-07-14
219,14,14,2024-03-23
220,14,16,2023-02-19
221,14,13,2024-03-08
222,14,5,2023-01-29
223,14,30,2023-03-27
224,14,21,2024-04-22
225,14,28,2023-03-16
226,14,29,2023-09-05
227,14,11,2024-03-06
228,14,9,2024-04-24
229,14,10,2023-11-22
230,14,4,2023-03-10
231,14,22,2024-08-07
232,14,8,2024-11-25
233,14,18,2024-10-11
234,15,5,2023-07-21
235,15,21,2023-08-02
236,15,14,2023-05-22
237,15,29,2024-12-11
238,15,20,2023-05-01
239,15,22,2024-06-01
240,15,28,2024-03-04
241,15,1,2024-03-22
242,15,17,2023-06-06
243,15,9,2023-08-13
244,15,13,2024-03-19
245,15,8,2023-08-07
246,15,12,2024-05-22
247,15,18,2023-01-29
248,15,4,2023-02-23
249,15,26,2024-06-16
250,15,23,2024-03-26
251,15,10,2023-02-01
252,16,13,2023-01-04
253,16,14,2023-07-28
254,16,10,2024-08-04
255,16,26,2024-10-10
256,16,4,2023-12-24
257,16,11,2023-01-21
258,16,18,2024-01-01
259,16,29,2024-10-12
260,16,1,2024-12-24
261,16,8,2023-10-21
262,16,21,2023-04-20
263,16,9,2024-02-23
264,16,20,2024-08-30
265,16,28,2024-11-21
266,16,2,2023-02-07
267,16,3,2023-08-01
268,16,22,2023-12-16
269,16,12,2023-03-13
270,16,17,2024-10-09
271,16,16,2023-03-23
272,17,29,2024-12-14
273,17,8,2024-01-21
274,17,5,2023-04-11
275,17,13,2023-02-19
276,17,14,2024-09-13
277,17,22,2024-11-11
278,17,21,2024-07-11
279,17,23,2023-04-01
280,17,9,2023-03-13
281,17,11,2023-05-25
282,17,26,2024-07-03
283,17,17,2024-07-13
284,17,4,2024-09-04
285,17,12,2023-03-12
286,17,10,2023-04-22
287,17,1,2024-10-20
288,17,2,2024-11-09
289,18,9,2024-09-03
290,18,13,2024-07-18
291,18,21,2024-08-08
292,18,14,2024-08-09
293,18,3,2024-02-24
294,18,16,2023-03-23
295,18,20,2024-11-06
296,18,11,2024-03-20
297,18,12,2024-10-20
298,18,1,2024-12-02
299,18,5,2023-05-17
300,18,6,2023-10-21
301,18,10,2023-05-21
302,18,29,2023-02-07
303,18,15,2024-12-07
304,18,8,2024-11-05
305,18,26,2024-11-12
306,18,22,2024-10-07
307,19,26,2024-01-17
308,19,21,2024-02-07
309,19,14,2024-02-02
310,19,15,2023-06-27
311,19,1,2023-12-31
312,19,29,2023-03-21
313,19,13,2024-04-15
314,19,20,2024-07-08
315,19,10,2024-11-25
316,19,11,2023-08-27
317,19,9,2023-07-28
318,19,4,2024-02-06
319,19,8,2024-05-21
320,19,7,2024-12-26
321,19,28,2023-01-19
322,19,5,2023-06-24
323,19,12,2023-07-11
324,20,26,2023-12-05
325,20,15,2023-12-04
326,20,4,2024-03-24
327,20,9,2024-08-10
328,20,28,2023-06-19
329,20,2,2024-07-29
330,20,10,2024-05-01
331,20,29,2023-02-07
332,20,11,2023-09-14
333,20,16,2023-08-10
334,20,12,2024-10-10
335,20,20,2024-11-04
336,20,1,2024-08-21
337,20,5,2024-01-21
338,21,21,2024-10-29
339,21,9,2023-10-16
340,21,22,2024-02-18
341,21,17,2023-06-29
342,21,20,2023-05-14
343,21,16,2023-12-26
344,21,29,2024-02-16
345,21,11,2024-08-12
346,21,12,2023-10-13
347,21,26,2024-10-16
348,21,10,2024-03-19
349,21,14,2023-02-21
350,21,5,2024-06-24
351,21,4,2024-02-25
352,21,19,2023-10-12
353,21,8,2023-12-08
354,22,21,2024-03-25
355,22,17,2023-11-10
356,22,13,2023-05-03
357,22,26,2023-07-05
358,22,8,2024-06-25
359,22,16,2024-09-08
360,22,29,2024-07-27
361,22,23,2023-08-14
362,22,30,2023-04-10
363,22,1,2023-04-27
364,22,12,2023-10-15
365,22,20,2024-01-14
366,22,10,2024-10-14
367,22,11,2024-10-19
368,23,27,2024-03-16
369,23,5,2023-09-17
370,23,9,2024-04-24
371,23,4,2024-04-19
372,23,29,2024-02-10
373,23,12,2024-01-11
374,23,16,2023-03-16
375,23,20,2023-07-09
376,23,8,2024-01-21
377,23,26,2023-04-09
378,23,1,2023-12-14
379,23,15,2023-03-27
380,24,1,2023-03-17
381,24,13,2023-09-28
382,24,9,2024-03-05
383,24,14,2024-10-09
384,24,26,2023-06-19
385,24,17,2024-03-05
386,24,2,2023-02-16
387,24,29,2023-02-25
388,24,20,2024-07-15
389,24,12,2024-06-09
390,24,22,2023-10-03
391,24,21,2024-03-31
392,24,19,2023-10-05
393,24,8,2023-07-22
394,24,10,2023-11-12
395,24,4,2023-08-16
396,24,16,2024-08-18
397,24,7,2023-10-28
398,24,6,2023-08-23
399,25,28,2024-07-08
400,25,5,2024-03-23
401,25,29,2024-05-29
402,25,14,2024-09-29
403,25,4,2023-04-20
404,25,8,2024-01-13
405,25,11,2024-01-25
406,25,10,2023-04-22
407,25,27,2024-05-07
408,25,30,2023-03-28
409,25,13,2023-11-30
410,25,18,2023-08-30
411,25,26,2023-04-24
412,25,1,2024-08-24
413,25,23,2023-06-28
414,25,16,2023-07-06
415,26,29,2024-05-12
416,26,27,2024-06-03
417,26,6,2023-06-09
418,26,20,2024-06-07
419,26,5,2024-03-23
420,26,13,2024-10-01
421,26,11,2023-05-08
422,26,1,2024-03-24
423,26,9,2024-08-29
424,26,4,2023-07-23
425,26,14,2024-06-27
426,26,10,2023-03-14
427,26,16,2024-06-08
428,26,15,2024-03-19
429,26,17,2023-05-21
430,26,8,2023-02-18
431,26,28,2024-06-28
432,26,23,2023-06-26
433,26,22,2023-12-30
434,27,7,2023-10-07
435,27,13,2023-06-18
436,27,11,2023-04-20
437,27,21,2024-12-21
438,27,14,2023-04-05
439,27,12,2024-05-31
440,27,8,2024-06-08
441,27,23,2024-03-27
442,27,10,2024-10-28
443,27,29,2023-01-04
444,27,1,2023-08-09
445,27,9,2023-05-15
446,28,20,2024-04-09
447,28,26,2023-08-23
448,28,28,2023-10-13
449,28,10,2024-03-28
450,28,17,2023-07-08
451,28,9,2023-04-26
452,28,8,2023-05-05
453,28,21,2024-11-16
454,28,13,2024-11-27
455,28,16,2023-06-11
456,28,29,2023-05-23
457,28,22,2023-02-09
458,28,23,2024-12-02
459,28,27,2024-05-31
460,28,12,2024-07-10
461,28,1,2023-08-01
462,28,3,2024-04-13
463,29,23,2024-05-09
464,29,3,2023-08-05
465,29,20,2023-05-15
466,29,11,2023-09-04
467,29,9,2023-01-01
468,29,8,2023-05-01
469,29,30,2024-03-13
470,29,22,2023-08-08
471,29,16,2023-09-16
472,29,19,2024-08-13
473,29,17,2023-04-01
474,29,29,2023-10-17
475,30,5,2024-06-26
476,30,16,2024-04-19
477,30,21,2024-01-19
478,30,8,2024-11-09
479,30,10,2024-09-12
480,30,9,2023-11-01
481,30,1,2023-03-04
482,30,14,2023-01-03
483,30,12,2023-06-20
484,30,11,2023-02-15
485,30,29,2023-06-04
486,30,24,2023-03-22
487,30,26,2024-12-18
488,31,13,2023-05-23
489,31,22,2023-02-01
490,31,10,2023-01-04
491,31,4,2023-02-27
492,31,11,2023-04-26
493,31,21,2024-05-23
494,31,29,2023-08-06
495,31,9,2023-02-22
496,31,1,2023-01-11
497,31,17,2023-12-15
498,31,6,2024-09-06
499,31,14,2023-09-05
500,32,21,2023-06-16
501,32,13,2023-03-26
502,32,1,2024-11-13
503,32,29,2024-08-12
504,32,11,2024-11-15
505,32,10,2024-01-24
506,32,30,2024-02-04
507,32,20,2024-07-28
508,32,4,2024-03-26
509,32,5,2023-11-16
510,32,16,2023-08-02
511,32,8,2023-12-21
512,33,20,2024-05-18
513,33,13,2023-08-30
514,33,12,2024-03-04
515,33,1,2024-05-22
516,33,5,2023-08-29
517,33,2,2024-04-18
518,33,11,2023-10-19
519,33,21,2023-04-09
520,33,10,2023-09-30
521,33,17,2023-11-19
522,33,19,2023-01-02
523,33,14,2024-10-14
524,34,12,2023-01-27
525,34,24,2023-09-10
526,34,21,2023-04-23
527,34,20,2023-09-15
528,34,9,2024-01-22
529,34,5,2024-05-10
530,34,14,2023-03-05
531,34,8,2024-09-29
532,34,2,2024-10-04
533,34,10,2024-05-20
534,34,13,2024-11-06
535,34,1,2023-11-09
536,34,29,2024-08-23
537,34,11,2024-06-15
538,34,22,2024-02-16
539,34,16,2023-05-12
540,35,10,2023-08-03
541,35,20,2024-03-06
542,35,21,2024-12-26
543,35,16,2023-01-02
544,35,11,2024-11-30
545,35,29,2024-09-17
546,35,13,2024-01-22
547,35,14,2024-03-21
548,35,22,2023-09-27
549,35,28,2023-04-05
550,35,8,2024-02-22
551,35,12,2024-08-19
552,35,19,2023-06-18
553,35,15,2024-06-08
554,35,23,2024-06-30
555,35,5,2024-07-08
556,35,9,2023-09-06
557,36,12,2023-07-25
558,36,1,2023-09-09
559,36,8,2023-04-18
560,36,14,2024-01-15
561,36,20,2023-07-24
562,36,13,2023-08-02
563,36,23,2023-01-29
564,36,10,2024-08-07
565,36,11,2024-11-17
566,36,15,2023-12-31
567,36,30,2024-01-27
568,36,5,2024-11-07
569,36,26,2024-01-09
570,36,28,2024-03-31
571,36,16,2023-11-09
572,37,20,2023-10-20
573,37,9,2023-08-28
574,37,1,2024-01-14
575,37,30,2024-03-25
576,37,22,2023-01-12
577,37,23,2024-10-12
578,37,29,2024-10-31
579,37,11,2024-03-16
580,37,8,2024-02-25
581,37,4,2024-05-22
582,37,13,2023-11-19
583,37,28,2023-09-25
584,37,5,2023-09-15
585,37,10,2023-04-27
586,37,7,2024-09-06
587,37,17,2023-08-23
588,38,10,2024-12-05
589,38,8,2024-09-09
590,38,11,2024-03-22
591,38,1,2024-06-24
592,38,6,2023-08-05
593,38,12,2023-01-27
594,38,29,2023-09-10
595,38,17,2024-11-06
596,38,13,2024-07-31
597,38,14,2024-07-27
598,38,9,2024-10-04
599,38,5,2023-09-30
600,38,16,2023-08-24
601,38,20,2024-11-07
602,39,21,2024-04-27
603,39,16,2024-02-28
604,39,29,2024-10-22
605,39,20,2023-05-03
606,39,15,2024-06-17
607,39,17,2024-12-13
608,39,26,2023-06-10
609,39,11,2023-07-06
610,39,13,2023-12-14
611,39,12,2024-06-13
612,39,10,2024-12-02
613,39,28,2024-08-04
614,39,5,2024-08-03
615,39,9,2023-11-19
616,39,23,2024-04-16
617,39,19,2023-06-04
618,39,8,2023-12-05
619,40,20,2023-01-10
620,40,21,2023-06-11
621,40,13,2024-05-16
622,40,2,2023-08-26
623,40,29,2023-01-07
624,40,28,2023-01-18
625,40,8,2024-08-27
626,40,14,2023-04-23
627,40,23,2023-03-15
628,40,26,2024-02-16
629,40,1,2023-03-28
630,40,9,2024-04-22
631,40,16,2024-02-02
632,41,12,2023-10-05
633,41,27,2024-08-10
634,41,14,2023-04-16
635,41,13,2023-11-16
636,41,10,2024-05-06
637,41,16,2024-05-31
638,41,1,2023-11-14
639,41,20,2023-03-01
640,41,29,2023-01-12
641,41,17,2023-12-10
642,41,23,2024-08-15
643,41,8,2023-01-21
644,41,9,2024-10-10
645,41,11,2024-05-09
646,41,15,2023-01-06
647,41,21,2023-09-09
648,41,5,2023-06-11
649,42,9,2024-08-01
650,42,12,2024-03-04
651,42,8,2023-06-22
652,42,20,2024-01-08
653,42,16,2024-05-29
654,42,13,2023-01-27
655,42,14,2024-03-19
656,42,23,2023-12-30
657,42,22,2023-02-20
658,42,17,2023-07-12
659,42,18,2023-11-24
660,42,26,2023-09-08
661,42,11,2023-08-01
662,42,5,2024-04-19
663,42,29,2023-10-23
664,42,10,2023-12-30
665,42,25,2024-08-06
666,42,1,2023-03-10
667,42,28,2023-09-21
668,42,15,2023-02-23
669,43,9,2023-05-16
670,43,5,2023-10-26
671,43,4,2023-04-29
672,43,13,2023-06-27
673,43,16,2024-03-23
674,43,7,2023-07-29
675,43,10,2023-07-12
676,43,29,2024-12-28
677,43,30,2023-05-07
678,43,12,2023-05-19
679,43,11,2024-11-10
680,43,1,2024-02-07
681,43,2,2023-02-01
682,43,15,2023-11-07
683,43,8,2024-02-18
684,43,20,2023-07-05
685,43,21,2024-02-05
686,43,17,2024-04-19
687,43,14,2023-07-03
688,43,18,2024-08-16
689,44,28,2023-10-22
690,44,16,2024-04-18
691,44,14,2024-03-16
692,44,13,2023-11-03
693,44,21,2024-12-31
694,44,10,2023-05-08
695,44,29,2023-03-12
696,44,12,2023-01-22
697,44,18,2024-08-18
698,44,8,2023-10-25
699,44,7,2023-11-16
700,44,6,2024-04-19
701,44,20,2023-11-15
702,44,26,2024-02-24
703,44,1,2023-02-12
704,44,9,2023-04-25
705,45,11,2023-11-26
706,45,22,2023-01-01
707,45,21,2024-01-22
708,45,14,2024-08-04
709,45,10,2023-01-25
710,45,16,2023-02-08
711,45,26,2023-10-07
712,45,13,2024-01-09
713,45,29,2023-12-13
714,45,28,2023-11-08
715,45,12,2023-07-06
716,45,30,2023-02-13
717,45,8,2023-01-23
718,45,19,2023-03-14
719,45,17,2024-05-19
720,45,9,2024-07-28
721,45,1,2023-11-15
722,45,23,2023-02-26
723,45,20,2023-10-31
724,45,5,2024-12-21
725,46,5,2024-09-11
726,46,17,2023-03-19
727,46,13,2023-03-10
728,46,28,2024-03-25
729,46,21,2023-01-21
730,46,4,2024-06-29
731,46,2,2024-10-31
732,46,9,2024-07-03
733,46,14,2023-06-18
734,46,6,2023-05-19
735,46,27,2024-05-12
736,46,8,2023-02-15
737,46,3,2024-01-29
738,46,26,2023-11-25
739,47,26,2023-05-29
740,47,13,2024-02-10
741,47,20,2024-08-02
742,47,10,2023-01-21
743,47,28,2024-07-07
744,47,1,2024-01-06
745,47,9,2024-12-30
746,47,23,2023-12-11
747,47,12,2023-12-16
748,47,8,2023-04-04
749,47,4,2024-08-12
750,47,29,2024-05-27
751,47,11,2024-09-22
752,47,25,2023-03-09
753,47,21,2023-06-04
754,47,17,2024-10-03
755,47,14,2023-01-31
756,47,22,2024-01-07
757,48,12,2023-08-24
758,48,28,2023-02-12
759,48,14,2023-01-14
760,48,13,2024-06-25
761,48,19,2023-10-03
762,48,11,2024-09-06
763,48,20,2023-06-18
764,48,1,2024-11-03
765,48,17,2024-11-19
766,48,22,2023-03-16
767,48,21,2024-04-17
768,48,15,2024-11-17
769,48,3,2023-08-25
770,48,8,2023-02-19
771,48,10,2024-10-01
772,49,14,2024-01-12
773,49,3,2023-04-23
774,49,13,2024-08-25
775,49,9,2024-06-10
776,49,2,2023-04-18
777,49,4,2024-03-01
778,49,5,2024-01-29
779,49,16,2023-05-27
780,49,25,2023-03-31
781,49,1,2024-07-09
782,49,10,2023-07-13
783,49,8,2024-01-15
784,49,20,2023-07-01
785,49,28,2024-04-22
786,49,29,2023-02-05
787,49,15,2023-09-20
788,50,4,2023-11-17
789,50,9,2024-10-19
790,50,1,2024-04-27
791,50,27,2023-08-29
792,50,21,2024-01-21
793,50,11,2023-06-22
794,50,14,2023-09-02
795,50,23,2024-05-12
796,50,29,2023-04-19
797,50,7,2024-05-06
798,50,13,2024-03-02
799,50,15,2023-08-14
800,50,2,2023-02-02
801,50,22,2024-05-30
802,50,28,2024-08-25
803,50,16,2024-06-17
804,51,21,2023-04-01
805,51,30,2023-08-23
806,51,4,2024-07-03
807,51,9,2024-03-06
808,51,10,2024-07-22
809,51,13,2024-01-12
810,51,22,2024-09-20
811,51,20,2024-10-03
812,51,1,2024-12-13
813,51,14,2023-03-31
814,51,5,2024-03-08
815,51,12,2023-03-25
816,51,17,2023-06-17
817,51,8,2023-08-08
818,51,26,2024-04-17
819,52,20,2023-03-05
820,52,9,2024-10-02
821,52,4,2024-08-26
822,52,17,2023-04-29
823,52,1,2024-05-29
824,52,16,2023-09-24
825,52,8,2023-11-16
826,52,29,2024-09-12
827,52,22,2024-09-07
828,52,10,2023-05-20
829,52,15,2023-08-13
830,52,21,2024-08-23
831,52,5,2024-11-01
832,52,14,2023-02-27
833,52,13,2024-09-01
834,53,29,2023-04-21
835,53,21,2023-11-23
836,53,10,2024-03-31
837,53,15,2023-08-27
838,53,13,2024-01-26
839,53,11,2023-07-18
840,53,7,2024-05-29
841,53,9,2024-04-19
842,53,27,2024-12-02
843,53,14,2023-02-08
844,53,5,2024-09-15
845,53,17,2023-09-06
846,53,23,2023-02-18
847,53,8,2024-05-19
848,53,6,2023-05-06
849,53,4,2023-05-09
850,54,9,2023-06-11
851,54,18,2024-10-04
852,54,8,2023-10-01
853,54,6,2023-07-08
854,54,5,2023-04-08
855,54,23,2024-09-07
856,54,28,2023-08-06
857,54,3,2024-08-17
858,54,21,2023-03-05
859,54,30,2024-01-02
860,54,12,2023-11-09
861,54,13,2023-11-17
862,54,26,2023-05-03
863,54,16,2023-02-23
864,54,22,2023-09-11
865,54,17,2023-12-10
866,54,20,2024-08-03
867,54,29,2023-12-05
868,54,10,2023-06-29
869,54,7,2023-07-11
870,55,10,2024-02-05
871,55,4,2024-06-02
872,55,1,2023-02-02
873,55,13,2024-04-15
874,55,20,2023-07-09
875,55,29,2023-10-18
876,55,5,2024-04-18
877,55,8,2023-01-04
878,55,16,2023-01-13
879,55,12,2023-11-23
880,55,14,2024-11-25
881,55,18,2023-01-05
882,55,28,2024-07-30
883,55,17,2023-02-24
884,55,9,2023-12-24
885,55,23,2023-11-11
886,55,3,2023-12-09
887,56,14,2024-09-04
888,56,13,2023-05-11
889,56,17,2024-12-12
890,56,26,2023-10-30
891,56,12,2024-09-07
892,56,1,2024-07-29
893,56,8,2024-07-26
894,56,19,2024-10-26
895,56,9,2023-05-16
896,56,20,2024-03-09
897,56,15,2023-03-14
898,56,7,2023-08-07
899,57,20,2024-05-13
900,57,15,2024-10-11
901,57,1,2023-09-23
902,57,8,2024-03-13
903,57,11,2023-04-20
904,57,14,2024-11-07
905,57,16,2024-03-12
906,57,13,2024-07-09
907,57,17,2024-03-16
908,57,9,2023-09-17
909,57,21,2023-09-06
910,57,10,2024-05-27
911,58,21,2024-02-10
912,58,17,2024-08-08
913,58,27,2023-02-05
914,58,12,2024-03-11
915,58,5,2023-12-13
916,58,9,2024-07-26
917,58,23,2024-08-08
918,58,13,2024-04-24
919,58,10,2024-04-25
920,58,8,2024-05-20
921,58,20,2024-02-29
922,58,15,2023-06-16
923,58,1,2023-07-27
924,58,6,2024-06-26
925,58,22,2024-03-28
926,58,28,2023-06-23
927,58,16,2024-10-03
928,58,30,2024-12-17
929,58,14,2024-04-02
930,59,12,2024-11-17
931,59,14,2023-02-02
932,59,9,2024-04-22
933,59,29,2023-11-18
934,59,5,2024-04-22
935,59,1,2024-07-19
936,59,23,2024-05-17
937,59,17,2024-04-20
938,59,13,2024-09-06
939,59,10,2024-05-28
940,59,21,2024-08-17
941,59,11,2023-10-22
942,59,22,2023-05-29
943,59,8,2023-06-21
944,60,13,2024-01-24
945,60,12,2023-10-10
946,60,30,2023-07-21
947,60,11,2023-06-26
948,60,22,2024-01-03
949,60,9,2023-10-03
950,60,29,2023-08-04
951,60,14,2023-10-29
952,60,8,2023-09-09
953,60,21,2023-06-17
954,60,1,2023-11-27
955,60,5,2024-11-19
956,60,7,2024-01-05
957,60,26,2024-03-12
958,60,16,2024-12-20
959,60,20,2024-03-24
960,60,15,2023-06-13
961,61,10,2023-12-23
962,61,14,2023-05-12
963,61,22,2023-08-08
964,61,8,2024-11-10
965,61,16,2023-05-09
966,61,21,2024-04-27
967,61,28,2023-06-10
968,61,5,2023-08-31
969,61,1,2023-12-16
970,61,17,2023-09-21
971,61,13,2024-10-01
972,61,3,2024-12-12
973,61,9,2024-01-01
974,61,29,2024-01-19
975,61,30,2023-02-10
976,62,6,2023-01-30
977,62,12,2023-11-26
978,62,17,2024-10-16
979,62,16,2023-08-18
980,62,21,2024-02-23
981,62,2,2024-06-28
982,62,9,2024-03-20
983,62,1,2023-06-02
984,62,13,2024-05-13
985,62,3,2024-06-27
986,62,20,2023-03-31
987,62,4,2023-05-01
988,62,27,2024-05-08
989,62,15,2023-03-28
990,63,13,2023-10-12
991,63,1,2023-07-08
992,63,5,2023-01-29
993,63,7,2024-08-10
994,63,20,2023-11-22
995,63,26,2024-07-03
996,63,12,2024-03-05
997,63,16,2024-10-02
998,63,14,2024-12-29
999,63,4,2024-03-16
1000,63,9,2023-09-15
1001,63,8,2023-11-06
1002,63,18,2024-08-26
1003,63,22,2023-11-08
1004,63,19,2024-01-15
1005,63,10,2023-05-22
1006,63,3,2024-12-24
1007,63,28,2024-04-20
1008,63,2,2023-08-30
1009,64,20,2023-12-28
1010,64,14,2023-03-05
1011,64,16,2024-08-03
1012,64,13,2024-04-08
1013,64,30,2024-09-14
1014,64,8,2024-09-23
1015,64,4,2023-09-14
1016,64,15,2023-01-31
1017,64,9,2023-09-11
1018,64,1,2023-04-17
1019,64,10,2024-01-25
1020,64,12,2023-04-18
1021,64,11,2024-11-04
1022,64,2,2024-03-16
1023,64,29,2023-07-04
1024,64,17,2024-11-04
1025,64,5,2024-07-16
1026,65,21,2024-06-21
1027,65,17,2024-06-11
1028,65,6,2023-04-29
1029,65,8,2023-06-08
1030,65,24,2024-03-04
1031,65,23,2024-08-29
1032,65,29,2023-05-28
1033,65,14,2023-06-10
1034,65,12,2024-08-13
1035,65,30,2024-05-24
1036,65,2,2024-10-21
1037,65,16,2024-07-26
1038,65,19,2024-11-27
1039,65,20,2023-05-19
1040,65,10,2023-07-18
1041,66,13,2024-01-06
1042,66,1,2024-08-29
1043,66,29,2023-12-15
1044,66,5,2023-05-30
1045,66,12,2023-02-03
1046,66,21,2024-11-21
1047,66,26,2024-07-10
1048,66,16,2023-04-24
1049,66,28,2023-02-24
1050,66,14,2023-04-05
1051,66,10,2023-10-03
1052,66,15,2024-08-16
1053,66,20,2023-04-27
1054,66,3,2024-08-21
1055,67,16,2024-06-24
1056,67,8,2024-07-20
1057,67,9,2024-10-05
1058,67,13,2024-08-22
1059,67,14,2023-04-15
1060,67,30,2024-04-02
1061,67,2,2023-10-29
1062,67,1,2024-04-04
1063,67,10,2024-06-29
1064,67,11,2024-01-02
1065,67,21,2023-08-17
1066,67,22,2024-10-31
1067,68,23,2024-07-14
1068,68,8,2024-05-05
