fecha,ruta,pasajeros
2023-04-10,Medellin-Pereira,177
2023-04-11,Medellin-Pereira,121
2023-04-12,Medellin-Pereira,135
2023-04-13,Medellin-Pereira,174
2023-04-14,Medellin-Pereira,245
2023-04-15,Medellin-Pereira,201
2023-04-16,Medellin-Pereira,273
2023-04-17,Medellin-Pereira,204
2023-04-18,Medellin-Pereira,140
2023-04-19,Medellin-Pereira,141
2023-04-20,Medellin-Pereira,174
2023-04-21,Medellin-Pereira,222
2023-04-22,Medellin-Pereira,198
2023-04-23,Medellin-Pereira,262
2023-04-24,Medellin-Pereira,208
2023-04-25,Medellin-Pereira,132
2023-04-26,Medellin-Pereira,139
2023-04-27,Medellin-Pereira,171
2023-04-28,Medellin-Pereira,229
2023-04-29,Medellin-Pereira,213
2023-04-30,Medellin-Pereira,269
2023-05-01,Medellin-Pereira,208
2023-05-02,Medellin-Pereira,121
2023-05-03,Medellin-Pereira,154
2023-05-04,Medellin-Pereira,151
2023-05-05,Medellin-Pereira,254
2023-05-06,Medellin-Pereira,227
2023-05-07,Medellin-Pereira,243
2023-05-08,Medellin-Pereira,163
2023-05-09,Medellin-Pereira,135
2023-05-10,Medellin-Pereira,127
2023-05-11,Medellin-Pereira,149
2023-05-12,Medellin-Pereira,246
2023-05-13,Medellin-Pereira,181
2023-05-14,Medellin-Pereira,265
2023-05-15,Medellin-Pereira,158
2023-05-16,Medellin-Pereira,156
2023-05-17,Medellin-Pereira,123
2023-05-18,Medellin-Pereira,167
2023-05-19,Medellin-Pereira,331
2023-05-20,Medellin-Pereira,198
2023-05-21,Medellin-Pereira,262
2023-05-22,Medellin-Pereira,233
2023-05-23,Medellin-Pereira,118
2023-05-24,Medellin-Pereira,137
2023-05-25,Medellin-Pereira,176
2023-05-26,Medellin-Pereira,258
2023-05-27,Medellin-Pereira,179
2023-05-28,Medellin-Pereira,241
2023-05-29,Medellin-Pereira,180
2023-05-30,Medellin-Pereira,139
2023-05-31,Medellin-Pereira,139
2023-06-01,Medellin-Pereira,178
2023-06-02,Medellin-Pereira,239
2023-06-03,Medellin-Pereira,202
2023-06-04,Medellin-Pereira,266
2023-06-05,Medellin-Pereira,164
2023-06-06,Medellin-Pereira,163
2023-06-07,Medellin-Pereira,144
2023-06-08,Medellin-Pereira,158
2023-06-09,Medellin-Pereira,336
2023-06-10,Medellin-Pereira,207
2023-06-11,Medellin-Pereira,276
2023-06-12,Medellin-Pereira,237
2023-06-13,Medellin-Pereira,133
2023-06-14,Medellin-Pereira,152
2023-06-15,Medellin-Pereira,183
2023-06-16,Medellin-Pereira,343
2023-06-17,Medellin-Pereira,252
2023-06-18,Medellin-Pereira,265
2023-06-19,Medellin-Pereira,213
2023-06-20,Medellin-Pereira,135
2023-06-21,Medellin-Pereira,129
2023-06-22,Medellin-Pereira,179
2023-06-23,Medellin-Pereira,264
2023-06-24,Medellin-Pereira,211
2023-06-25,Medellin-Pereira,285
2023-06-26,Medellin-Pereira,181
2023-06-27,Medellin-Pereira,163
2023-06-28,Medellin-Pereira,138
2023-06-29,Medellin-Pereira,221
2023-06-30,Medellin-Pereira,348
2023-07-01,Medellin-Pereira,217
2023-07-02,Medellin-Pereira,259
2023-07-03,Medellin-Pereira,235
2023-07-04,Medellin-Pereira,147
2023-07-05,Medellin-Pereira,153
2023-07-06,Medellin-Pereira,189
2023-07-07,Medellin-Pereira,260
2023-07-08,Medellin-Pereira,196
2023-07-09,Medellin-Pereira,253
2023-07-10,Medellin-Pereira,176
2023-07-11,Medellin-Pereira,155
2023-07-12,Medellin-Pereira,145
2023-07-13,Medellin-Pereira,163
2023-07-14,Medellin-Pereira,262
2023-07-15,Medellin-Pereira,213
2023-07-16,Medellin-Pereira,259
2023-07-17,Medellin-Pereira,182
2023-07-18,Medellin-Pereira,142
2023-07-19,Medellin-Pereira,124
2023-07-20,Medellin-Pereira,211
2023-07-21,Medellin-Pereira,265
2023-07-22,Medellin-Pereira,220
2023-07-23,Medellin-Pereira,284
2023-07-24,Medellin-Pereira,158
2023-07-25,Medellin-Pereira,126
2023-07-26,Medellin-Pereira,146
2023-07-27,Medellin-Pereira,184
2023-07-28,Medellin-Pereira,261
2023-07-29,Medellin-Pereira,257
2023-07-30,Medellin-Pereira,274
2023-07-31,Medellin-Pereira,192
2023-08-01,Medellin-Pereira,151
2023-08-02,Medellin-Pereira,147
2023-08-03,Medellin-Pereira,171
2023-08-04,Medellin-Pereira,262
2023-08-05,Medellin-Pereira,189
2023-08-06,Medellin-Pereira,260
2023-08-07,Medellin-Pereira,194
2023-08-08,Medellin-Pereira,138
2023-08-09,Medellin-Pereira,170
2023-08-10,Medellin-Pereira,147
2023-08-11,Medellin-Pereira,259
2023-08-12,Medellin-Pereira,176
2023-08-13,Medellin-Pereira,255
2023-08-14,Medellin-Pereira,189
2023-08-15,Medellin-Pereira,137
2023-08-16,Medellin-Pereira,120
2023-08-17,Medellin-Pereira,163
2023-08-18,Medellin-Pereira,333
2023-08-19,Medellin-Pereira,208
2023-08-20,Medellin-Pereira,264
2023-08-21,Medellin-Pereira,217
2023-08-22,Medellin-Pereira,133
2023-08-23,Medellin-Pereira,167
2023-08-24,Medellin-Pereira,183
2023-08-25,Medellin-Pereira,220
2023-08-26,Medellin-Pereira,201
2023-08-27,Medellin-Pereira,252
2023-08-28,Medellin-Pereira,186
2023-08-29,Medellin-Pereira,124
2023-08-30,Medellin-Pereira,134
2023-08-31,Medellin-Pereira,181
2023-09-01,Medellin-Pereira,261
2023-09-02,Medellin-Pereira,181
2023-09-03,Medellin-Pereira,257
2023-09-04,Medellin-Pereira,167
2023-09-05,Medellin-Pereira,126
2023-09-06,Medellin-Pereira,161
2023-09-07,Medellin-Pereira,179
2023-09-08,Medellin-Pereira,231
2023-09-09,Medellin-Pereira,212
2023-09-10,Medellin-Pereira,292
2023-09-11,Medellin-Pereira,189
2023-09-12,Medellin-Pereira,114
2023-09-13,Medellin-Pereira,129
2023-09-14,Medellin-Pereira,192
2023-09-15,Medellin-Pereira,239
2023-09-16,Medellin-Pereira,205
2023-09-17,Medellin-Pereira,273
2023-09-18,Medellin-Pereira,160
2023-09-19,Medellin-Pereira,135
2023-09-20,Medellin-Pereira,89
2023-09-21,Medellin-Pereira,159
2023-09-22,Medellin-Pereira,246
2023-09-23,Medellin-Pereira,181
2023-09-24,Medellin-Pereira,286
2023-09-25,Medellin-Pereira,153
2023-09-26,Medellin-Pereira,130
2023-09-27,Medellin-Pereira,138
2023-09-28,Medellin-Pereira,195
2023-09-29,Medellin-Pereira,229
2023-09-30,Medellin-Pereira,216
2023-10-01,Medellin-Pereira,263
2023-10-02,Medellin-Pereira,160
2023-10-03,Medellin-Pereira,143
2023-10-04,Medellin-Pereira,139
2023-10-05,Medellin-Pereira,166
2023-10-06,Medellin-Pereira,251
2023-10-07,Medellin-Pereira,194
2023-10-08,Medellin-Pereira,264
2023-10-09,Medellin-Pereira,184
2023-10-10,Medellin-Pereira,159
2023-10-11,Medellin-Pereira,119
2023-10-12,Medellin-Pereira,205
2023-10-13,Medellin-Pereira,297
2023-10-14,Medellin-Pereira,217
2023-10-15,Medellin-Pereira,271
2023-10-16,Medellin-Pereira,222
2023-10-17,Medellin-Pereira,134
2023-10-18,Medellin-Pereira,134
2023-10-19,Medellin-Pereira,167
2023-10-20,Medellin-Pereira,242
2023-10-21,Medellin-Pereira,212
2023-10-22,Medellin-Pereira,268
2023-10-23,Medellin-Pereira,165
2023-10-24,Medellin-Pereira,150
2023-10-25,Medellin-Pereira,141
2023-10-26,Medellin-Pereira,186
2023-10-27,Medellin-Pereira,260
2023-10-28,Medellin-Pereira,188
2023-10-29,Medellin-Pereira,255
2023-10-30,Medellin-Pereira,186
2023-10-31,Medellin-Pereira,146
2023-11-01,Medellin-Pereira,137
2023-11-02,Medellin-Pereira,177
2023-11-03,Medellin-Pereira,345
2023-11-04,Medellin-Pereira,212
2023-11-05,Medellin-Pereira,272
2023-11-06,Medellin-Pereira,216
2023-11-07,Medellin-Pereira,141
2023-11-08,Medellin-Pereira,153
2023-11-09,Medellin-Pereira,187
2023-11-10,Medellin-Pereira,339
2023-11-11,Medellin-Pereira,240
2023-11-12,Medellin-Pereira,265
2023-11-13,Medellin-Pereira,229
2023-11-14,Medellin-Pereira,140
2023-11-15,Medellin-Pereira,142
2023-11-16,Medellin-Pereira,174
2023-11-17,Medellin-Pereira,254
2023-11-18,Medellin-Pereira,210
2023-11-19,Medellin-Pereira,254
2023-11-20,Medellin-Pereira,207
2023-11-21,Medellin-Pereira,124
2023-11-22,Medellin-Pereira,121
2023-11-23,Medellin-Pereira,194
2023-11-24,Medellin-Pereira,266
2023-11-25,Medellin-Pereira,212
2023-11-26,Medellin-Pereira,277
2023-11-27,Medellin-Pereira,178
2023-11-28,Medellin-Pereira,127
2023-11-29,Medellin-Pereira,141
2023-11-30,Medellin-Pereira,170
2023-12-01,Medellin-Pereira,272
2023-12-02,Medellin-Pereira,204
2023-12-03,Medellin-Pereira,260
2023-12-04,Medellin-Pereira,176
2023-12-05,Medellin-Pereira,148
2023-12-06,Medellin-Pereira,134
2023-12-07,Medellin-Pereira,171
2023-12-08,Medellin-Pereira,306
2023-12-09,Medellin-Pereira,214
2023-12-10,Medellin-Pereira,271
2023-12-11,Medellin-Pereira,178
2023-12-12,Medellin-Pereira,149
2023-12-13,Medellin-Pereira,125
2023-12-14,Medellin-Pereira,167
2023-12-15,Medellin-Pereira,259
2023-12-16,Medellin-Pereira,212
2023-12-17,Medellin-Pereira,289
2023-12-18,Medellin-Pereira,211
2023-12-19,Medellin-Pereira,161
2023-12-20,Medellin-Pereira,147
2023-12-21,Medellin-Pereira,191
2023-12-22,Medellin-Pereira,260
2023-12-23,Medellin-Pereira,219
2023-12-24,Medellin-Pereira,286
2023-12-25,Medellin-Pereira,226
2023-12-26,Medellin-Pereira,139
2023-12-27,Medellin-Pereira,159
2023-12-28,Medellin-Pereira,216
2023-12-29,Medellin-Pereira,276
2023-12-30,Medellin-Pereira,228
2023-12-31,Medellin-Pereira,302
2024-01-01,Medellin-Pereira,217
2024-01-02,Medellin-Pereira,155
2024-01-03,Medellin-Pereira,152
2024-01-04,Medellin-Pereira,195
2024-01-05,Medellin-Pereira,349
2024-01-06,Medellin-Pereira,243
2024-01-07,Medellin-Pereira,297
2024-01-08,Medellin-Pereira,261
2024-01-09,Medellin-Pereira,172
2024-01-10,Medellin-Pereira,181
2024-01-11,Medellin-Pereira,180
2024-01-12,Medellin-Pereira,286
2024-01-13,Medellin-Pereira,220
2024-01-14,Medellin-Pereira,317
2024-01-15,Medellin-Pereira,177
2024-01-16,Medellin-Pereira,135
2024-01-17,Medellin-Pereira,138
2024-01-18,Medellin-Pereira,157
2024-01-19,Medellin-Pereira,260
2024-01-20,Medellin-Pereira,202
2024-01-21,Medellin-Pereira,282
2024-01-22,Medellin-Pereira,190
2024-01-23,Medellin-Pereira,171
2024-01-24,Medellin-Pereira,158
2024-01-25,Medellin-Pereira,175
2024-01-26,Medellin-Pereira,249
2024-01-27,Medellin-Pereira,216
2024-01-28,Medellin-Pereira,255
2024-01-29,Medellin-Pereira,208
2024-01-30,Medellin-Pereira,159
2024-01-31,Medellin-Pereira,135
2024-02-01,Medellin-Pereira,156
2024-02-02,Medellin-Pereira,278
2024-02-03,Medellin-Pereira,204
2024-02-04,Medellin-Pereira,288
2024-02-05,Medellin-Pereira,156
2024-02-06,Medellin-Pereira,132
2024-02-07,Medellin-Pereira,140
2024-02-08,Medellin-Pereira,179
2024-02-09,Medellin-Pereira,250
2024-02-10,Medellin-Pereira,213
2024-02-11,Medellin-Pereira,253
2024-02-12,Medellin-Pereira,176
2024-02-13,Medellin-Pereira,141
2024-02-14,Medellin-Pereira,147
2024-02-15,Medellin-Pereira,188
2024-02-16,Medellin-Pereira,239
2024-02-17,Medellin-Pereira,181
2024-02-18,Medellin-Pereira,286
2024-02-19,Medellin-Pereira,182
2024-02-20,Medellin-Pereira,128
2024-02-21,Medellin-Pereira,161
2024-02-22,Medellin-Pereira,179
2024-02-23,Medellin-Pereira,272
2024-02-24,Medellin-Pereira,204
2024-02-25,Medellin-Pereira,297
2024-02-26,Medellin-Pereira,203
2024-02-27,Medellin-Pereira,135
2024-02-28,Medellin-Pereira,153
2024-02-29,Medellin-Pereira,187
2024-03-01,Medellin-Pereira,275
2024-03-02,Medellin-Pereira,190
2024-03-03,Medellin-Pereira,278
2024-03-04,Medellin-Pereira,193
2024-03-05,Medellin-Pereira,114
2024-03-06,Medellin-Pereira,122
2024-03-07,Medellin-Pereira,149
2024-03-08,Medellin-Pereira,252
2024-03-09,Medellin-Pereira,215
2024-03-10,Medellin-Pereira,291
2024-03-11,Medellin-Pereira,180
2024-03-12,Medellin-Pereira,164
2024-03-13,Medellin-Pereira,121
2024-03-14,Medellin-Pereira,155
2024-03-15,Medellin-Pereira,257
2024-03-16,Medellin-Pereira,212
2024-03-17,Medellin-Pereira,272
2024-03-18,Medellin-Pereira,152
2024-03-19,Medellin-Pereira,141
2024-03-20,Medellin-Pereira,124
2024-03-21,Medellin-Pereira,193
2024-03-22,Medellin-Pereira,348
2024-03-23,Medellin-Pereira,219
2024-03-24,Medellin-Pereira,272
2024-03-25,Medellin-Pereira,217
2024-03-26,Medellin-Pereira,153
2024-03-27,Medellin-Pereira,161
2024-03-28,Medellin-Pereira,202
2024-03-29,Medellin-Pereira,319
2024-03-30,Medellin-Pereira,209
2024-03-31,Medellin-Pereira,275
2024-04-01,Medellin-Pereira,189
2024-04-02,Medellin-Pereira,134
2024-04-03,Medellin-Pereira,141
2024-04-04,Medellin-Pereira,174
2024-04-05,Medellin-Pereira,302
2024-04-06,Medellin-Pereira,219
2024-04-07,Medellin-Pereira,277
2024-04-08,Medellin-Pereira,193
2024-04-09,Medellin-Pereira,147
2024-04-10,Medellin-Pereira,145
2024-04-11,Medellin-Pereira,197
2024-04-12,Medellin-Pereira,281
2024-04-13,Medellin-Pereira,207
2024-04-14,Medellin-Pereira,273
2024-04-15,Medellin-Pereira,182
2024-04-16,Medellin-Pereira,112
2024-04-17,Medellin-Pereira,123
2024-04-18,Medellin-Pereira,204
2024-04-19,Medellin-Pereira,287
2024-04-20,Medellin-Pereira,206
2024-04-21,Medellin-Pereira,283
2024-04-22,Medellin-Pereira,186
2024-04-23,Medellin-Pereira,186
2024-04-24,Medellin-Pereira,158
2024-04-25,Medellin-Pereira,179
2024-04-26,Medellin-Pereira,245
2024-04-27,Medellin-Pereira,183
2024-04-28,Medellin-Pereira,274
2024-04-29,Medellin-Pereira,169
2024-04-30,Medellin-Pereira,120
2024-05-01,Medellin-Pereira,152
2024-05-02,Medellin-Pereira,164
2024-05-03,Medellin-Pereira,282
2024-05-04,Medellin-Pereira,218
2024-05-05,Medellin-Pereira,270
2024-05-06,Medellin-Pereira,201
2024-05-07,Medellin-Pereira,141
2024-05-08,Medellin-Pereira,128
2024-05-09,Medellin-Pereira,201
2024-05-10,Medellin-Pereira,342
2024-05-11,Medellin-Pereira,211
2024-05-12,Medellin-Pereira,268
2024-05-13,Medellin-Pereira,212
2024-05-14,Medellin-Pereira,128
2024-05-15,Medellin-Pereira,154
2024-05-16,Medellin-Pereira,207
2024-05-17,Medellin-Pereira,238
2024-05-18,Medellin-Pereira,214
2024-05-19,Medellin-Pereira,262
2024-05-20,Medellin-Pereira,173
2024-05-21,Medellin-Pereira,132
2024-05-22,Medellin-Pereira,129
2024-05-23,Medellin-Pereira,181
2024-05-24,Medellin-Pereira,247
2024-05-25,Medellin-Pereira,211
2024-05-26,Medellin-Pereira,271
2024-05-27,Medellin-Pereira,177
2024-05-28,Medellin-Pereira,129
2024-05-29,Medellin-Pereira,134
2024-05-30,Medellin-Pereira,192
2024-05-31,Medellin-Pereira,346
2024-06-01,Medellin-Pereira,215
2024-06-02,Medellin-Pereira,276
2024-06-03,Medellin-Pereira,239
2024-06-04,Medellin-Pereira,126
2024-06-05,Medellin-Pereira,151
2024-06-06,Medellin-Pereira,174
2024-06-07,Medellin-Pereira,350
2024-06-08,Medellin-Pereira,221
2024-06-09,Medellin-Pereira,252
2024-06-10,Medellin-Pereira,207
2024-06-11,Medellin-Pereira,153
2024-06-12,Medellin-Pereira,149
2024-06-13,Medellin-Pereira,173
2024-06-14,Medellin-Pereira,276
2024-06-15,Medellin-Pereira,190
2024-06-16,Medellin-Pereira,281
2024-06-17,Medellin-Pereira,170
2024-06-18,Medellin-Pereira,138
2024-06-19,Medellin-Pereira,148
2024-06-20,Medellin-Pereira,176
2024-06-21,Medellin-Pereira,265
2024-06-22,Medellin-Pereira,231
2024-06-23,Medellin-Pereira,277
2024-06-24,Medellin-Pereira,202
2024-06-25,Medellin-Pereira,133
2024-06-26,Medellin-Pereira,157
2024-06-27,Medellin-Pereira,211
2024-06-28,Medellin-Pereira,320
2024-06-29,Medellin-Pereira,229
2024-06-30,Medellin-Pereira,296
2024-07-01,Medellin-Pereira,236
2024-07-02,Medellin-Pereira,163
2024-07-03,Medellin-Pereira,141
2024-07-04,Medellin-Pereira,193
2024-07-05,Medellin-Pereira,272
2024-07-06,Medellin-Pereira,236
2024-07-07,Medellin-Pereira,292
2024-07-08,Medellin-Pereira,196
2024-07-09,Medellin-Pereira,143
2024-07-10,Medellin-Pereira,142
2024-07-11,Medellin-Pereira,184
2024-07-12,Medellin-Pereira,278
2024-07-13,Medellin-Pereira,211
2024-07-14,Medellin-Pereira,290
2024-07-15,Medellin-Pereira,219
2024-07-16,Medellin-Pereira,161
2024-07-17,Medellin-Pereira,143
2024-07-18,Medellin-Pereira,206
2024-07-19,Medellin-Pereira,264
2024-07-20,Medellin-Pereira,218
2024-07-21,Medellin-Pereira,268
2024-07-22,Medellin-Pereira,160
2024-07-23,Medellin-Pereira,141
2024-07-24,Medellin-Pereira,146
2024-07-25,Medellin-Pereira,210
2024-07-26,Medellin-Pereira,271
2024-07-27,Medellin-Pereira,209
2024-07-28,Medellin-Pereira,291
2024-07-29,Medellin-Pereira,153
2024-07-30,Medellin-Pereira,148
2024-07-31,Medellin-Pereira,155
2024-08-01,Medellin-Pereira,163
2024-08-02,Medellin-Pereira,280
2024-08-03,Medellin-Pereira,215
2024-08-04,Medellin-Pereira,270
2024-08-05,Medellin-Pereira,192
2024-08-06,Medellin-Pereira,176
2024-08-07,Medellin-Pereira,167
2024-08-08,Medellin-Pereira,186
2024-08-09,Medellin-Pereira,255
2024-08-10,Medellin-Pereira,197
2024-08-11,Medellin-Pereira,287
2024-08-12,Medellin-Pereira,170
2024-08-13,Medellin-Pereira,144
2024-08-14,Medellin-Pereira,136
2024-08-15,Medellin-Pereira,189
2024-08-16,Medellin-Pereira,344
2024-08-17,Medellin-Pereira,244
2024-08-18,Medellin-Pereira,267
2024-08-19,Medellin-Pereira,223
2024-08-20,Medellin-Pereira,135
2024-08-21,Medellin-Pereira,136
2024-08-22,Medellin-Pereira,187
2024-08-23,Medellin-Pereira,272
2024-08-24,Medellin-Pereira,195
2024-08-25,Medellin-Pereira,286
2024-08-26,Medellin-Pereira,201
2024-08-27,Medellin-Pereira,148
2024-08-28,Medellin-Pereira,169
2024-08-29,Medellin-Pereira,171
2024-08-30,Medellin-Pereira,243
2024-08-31,Medellin-Pereira,183
2024-09-01,Medellin-Pereira,296
2024-09-02,Medellin-Pereira,191
2024-09-03,Medellin-Pereira,142
2024-09-04,Medellin-Pereira,146
2024-09-05,Medellin-Pereira,166
2024-09-06,Medellin-Pereira,296
2024-09-07,Medellin-Pereira,210
2024-09-08,Medellin-Pereira,276
2024-09-09,Medellin-Pereira,192
2024-09-10,Medellin-Pereira,149
2024-09-11,Medellin-Pereira,146
2024-09-12,Medellin-Pereira,171
2024-09-13,Medellin-Pereira,268
2024-09-14,Medellin-Pereira,236
2024-09-15,Medellin-Pereira,294
2024-09-16,Medellin-Pereira,205
2024-09-17,Medellin-Pereira,135
2024-09-18,Medellin-Pereira,128
2024-09-19,Medellin-Pereira,180
2024-09-20,Medellin-Pereira,262
2024-09-21,Medellin-Pereira,224
2024-09-22,Medellin-Pereira,250
2024-09-23,Medellin-Pereira,204
2024-09-24,Medellin-Pereira,141
2024-09-25,Medellin-Pereira,137
2024-09-26,Medellin-Pereira,168
2024-09-27,Medellin-Pereira,238
2024-09-28,Medellin-Pereira,221
2024-09-29,Medellin-Pereira,276
2024-09-30,Medellin-Pereira,164
2024-10-01,Medellin-Pereira,124
2024-10-02,Medellin-Pereira,138
2024-10-03,Medellin-Pereira,207
2024-10-04,Medellin-Pereira,258
2024-10-05,Medellin-Pereira,187
2024-10-06,Medellin-Pereira,272
2024-10-07,Medellin-Pereira,179
2024-10-08,Medellin-Pereira,104
2024-10-09,Medellin-Pereira,142
2024-10-10,Medellin-Pereira,179
2024-10-11,Medellin-Pereira,351
2024-10-12,Medellin-Pereira,257
2024-10-13,Medellin-Pereira,292
2024-10-14,Medellin-Pereira,225
2024-10-15,Medellin-Pereira,134
2024-10-16,Medellin-Pereira,180
2024-10-17,Medellin-Pereira,184
2024-10-18,Medellin-Pereira,263
2024-10-19,Medellin-Pereira,209
2024-10-20,Medellin-Pereira,279
2024-10-21,Medellin-Pereira,181
2024-10-22,Medellin-Pereira,135
2024-10-23,Medellin-Pereira,135
2024-10-24,Medellin-Pereira,183
2024-10-25,Medellin-Pereira,255
2024-10-26,Medellin-Pereira,199
2024-10-27,Medellin-Pereira,278
2024-10-28,Medellin-Pereira,180
2024-10-29,Medellin-Pereira,165
2024-10-30,Medellin-Pereira,105
2024-10-31,Medellin-Pereira,199
2024-11-01,Medellin-Pereira,360
2024-11-02,Medellin-Pereira,201
2024-11-03,Medellin-Pereira,271
2024-11-04,Medellin-Pereira,224
2024-11-05,Medellin-Pereira,131
2024-11-06,Medellin-Pereira,132
2024-11-07,Medellin-Pereira,168
2024-11-08,Medellin-Pereira,368
2024-11-09,Medellin-Pereira,245
2024-11-10,Medellin-Pereira,295
2024-11-11,Medellin-Pereira,240
2024-11-12,Medellin-Pereira,135
2024-11-13,Medellin-Pereira,137
2024-11-14,Medellin-Pereira,191
2024-11-15,Medellin-Pereira,247
2024-11-16,Medellin-Pereira,221
2024-11-17,Medellin-Pereira,275
2024-11-18,Medellin-Pereira,179
2024-11-19,Medellin-Pereira,155
2024-11-20,Medellin-Pereira,151
2024-11-21,Medellin-Pereira,180
2024-11-22,Medellin-Pereira,283
2024-11-23,Medellin-Pereira,197
2024-11-24,Medellin-Pereira,289
2024-11-25,Medellin-Pereira,195
2024-11-26,Medellin-Pereira,142
2024-11-27,Medellin-Pereira,151
2024-11-28,Medellin-Pereira,169
2024-11-29,Medellin-Pereira,283
2024-11-30,Medellin-Pereira,213
2024-12-01,Medellin-Pereira,277
2024-12-02,Medellin-Pereira,204
2024-12-03,Medellin-Pereira,138
2024-12-04,Medellin-Pereira,129
2024-12-05,Medellin-Pereira,168
2024-12-06,Medellin-Pereira,283
2024-12-07,Medellin-Pereira,201
2024-12-08,Medellin-Pereira,359
2024-12-09,Medellin-Pereira,163
2024-12-10,Medellin-Pereira,176
2024-12-11,Medellin-Pereira,155
2024-12-12,Medellin-Pereira,194
2024-12-13,Medellin-Pereira,273
2024-12-14,Medellin-Pereira,231
2024-12-15,Medellin-Pereira,296
2024-12-16,Medellin-Pereira,214
2024-12-17,Medellin-Pereira,157
2024-12-18,Medellin-Pereira,158
2024-12-19,Medellin-Pereira,194
2024-12-20,Medellin-Pereira,286
2024-12-21,Medellin-Pereira,234
2024-12-22,Medellin-Pereira,278
2024-12-23,Medellin-Pereira,182
2024-12-24,Medellin-Pereira,169
2024-12-25,Medellin-Pereira,185
2024-12-26,Medellin-Pereira,200
2024-12-27,Medellin-Pereira,291
2024-12-28,Medellin-Pereira,237
2024-12-29,Medellin-Pereira,298
2024-12-30,Medellin-Pereira,192
2024-12-31,Medellin-Pereira,162
2023-01-01,Medellin-Manizales,255
2023-01-02,Medellin-Manizales,159
2023-01-03,Medellin-Manizales,100
2023-01-04,Medellin-Manizales,133
